year,degree,work,age,job_satisfied,happy,sex,age_range
1972,high school,NA,25,NA,pretty happy,male,age 20-39
1972,less than high school,NA,53,moderately satisfied,pretty happy,male,age 40-59
1972,less than high school,NA,52,a little dissatisfied,pretty happy,male,age 40-59
1972,less than high school,yes,71,NA,pretty happy,male,age 60-79
1972,less than high school,NA,52,very satisfied,very happy,male,age 40-59
1972,less than high school,NA,57,very satisfied,very happy,male,age 40-59
1972,less than high school,no,69,very satisfied,very happy,female,age 60-79
1972,less than high school,no,74,NA,pretty happy,female,age 60-79
1972,high school,yes,58,NA,pretty happy,female,age 40-59
1972,high school,no,23,NA,very happy,female,age 20-39
1972,less than high school,yes,61,NA,very happy,female,age 60-79
1972,less than high school,no,60,NA,pretty happy,female,age 60-79
1972,less than high school,no,36,very satisfied,pretty happy,female,age 20-39
1972,graduate,NA,58,very satisfied,pretty happy,male,age 40-59
1972,less than high school,NA,28,very dissatisfied,pretty happy,male,age 20-39
1972,less than high school,NA,29,very satisfied,not too happy,male,age 20-39
1972,less than high school,NA,25,very satisfied,very happy,male,age 20-39
1972,high school,NA,57,moderately satisfied,pretty happy,male,age 40-59
1972,high school,yes,26,NA,very happy,female,age 20-39
1972,less than high school,NA,55,very satisfied,pretty happy,male,age 40-59
1972,bachelor's,NA,29,a little dissatisfied,very happy,female,age 20-39
1972,less than high school,yes,68,NA,very happy,female,age 60-79
1972,high school,no,18,NA,very happy,female,age 1-19
1972,less than high school,NA,49,very satisfied,pretty happy,male,age 40-59
1972,high school,yes,64,NA,very happy,male,age 60-79
1972,high school,NA,38,very satisfied,pretty happy,male,age 20-39
1972,less than high school,NA,30,very satisfied,pretty happy,male,age 20-39
1972,less than high school,yes,56,NA,pretty happy,female,age 40-59
1972,high school,NA,20,moderately satisfied,pretty happy,female,age 20-39
1972,high school,NA,19,a little dissatisfied,pretty happy,male,age 1-19
1972,less than high school,yes,50,NA,very happy,female,age 40-59
1972,high school,yes,38,NA,very happy,male,age 20-39
1972,high school,yes,64,NA,pretty happy,female,age 60-79
1972,less than high school,yes,74,NA,not too happy,female,age 60-79
1972,high school,yes,75,NA,pretty happy,female,age 60-79
1972,high school,NA,22,NA,not too happy,male,age 20-39
1972,less than high school,yes,75,NA,NA,male,age 60-79
1972,bachelor's,NA,23,a little dissatisfied,pretty happy,female,age 20-39
1972,high school,yes,79,NA,pretty happy,female,age 60-79
1972,less than high school,NA,60,very satisfied,pretty happy,male,age 60-79
1972,high school,NA,26,moderately satisfied,pretty happy,male,age 20-39
1972,high school,yes,63,NA,very happy,male,age 60-79
1972,less than high school,yes,63,NA,pretty happy,female,age 60-79
1972,high school,NA,34,moderately satisfied,very happy,female,age 20-39
1972,less than high school,yes,33,NA,very happy,male,age 20-39
1972,high school,NA,53,very satisfied,pretty happy,male,age 40-59
1972,high school,yes,78,NA,very happy,male,age 60-79
1972,less than high school,no,22,NA,pretty happy,female,age 20-39
1972,less than high school,NA,32,a little dissatisfied,pretty happy,male,age 20-39
1972,high school,NA,27,moderately satisfied,pretty happy,male,age 20-39
1972,high school,NA,35,very satisfied,pretty happy,female,age 20-39
1972,high school,NA,39,very satisfied,pretty happy,female,age 20-39
1972,associate/junior college,no,24,NA,pretty happy,female,age 20-39
1972,high school,NA,22,moderately satisfied,pretty happy,female,age 20-39
1972,high school,NA,28,very satisfied,pretty happy,male,age 20-39
1972,high school,NA,57,very satisfied,pretty happy,male,age 40-59
1972,high school,NA,48,moderately satisfied,very happy,male,age 40-59
